review_id,unternehmen,source,typ,datum,titel,gesamt_score,empfehlung,position,bereich,ort,sprache,arbeitsatmosphaere,work_life_balance,gehalt,karriere,vorgesetzte,gleichberechtigung,image,umwelt_sozial,kollegen,umgang_aeltere,arbeitsbedingungen,kommunikation,interessante_aufgaben,text_positiv,text_negativ,text_verbesserung,text_freitext,missing_ratings,has_freetext,is_duplicate,sentiment,kategorien,keywords,summary
nordzucker_kununu_11,Nordzucker,kununu,Mitarbeiter,2025-05-01,Top-Arbeitsgeber,4.8,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend und das Unternehmen hat einen guten Ruf in der Region. Gleitzeit und Homeoffice lassen sich gut nutzen.,Die Aufstiegsmöglichkeiten sind eher begrenzt.,Verbesserungspotenzial: ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False,positiv,"[""Arbeitsatmosphäre"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Gleitzeit"", ""Homeoffice"", ""Weiterbildungsprogramm"", ""Aufstiegsmöglichkeiten"", ""Unternehmenskultur""]","Das Unternehmen bietet eine positive Arbeitsatmosphäre und gute Work-Life-Balance, aber es gibt Raum für Verbesserung in der Karriere- und Weiterbildungsbereich."
nordzucker_kununu_12,Nordzucker,kununu,Mitarbeiter,2025-05-01,"Grundsätzlich ein guter Arbeitgeber, aber...",3.7,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,Das Betriebsklima ist sehr angenehm. Familie und Beruf sind gut vereinbar. Die Bezahlung ist fair und kommt pünktlich.,Das Außenbild ist besser als die interne Realität.,Wünschenswert: das positive Image auch nach innen stärker leben sowie mehr regelmäßiges Feedback durch die Vorgesetzten.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Fuehrung & Vorgesetzte"", ""Sonstiges""]","[""gut"", ""angenehm"", ""fair"", ""pünktlich"", ""Feedback""]","Das Unternehmen ist ein guter Arbeitgeber, aber es gibt noch Verbesserungspotenziale insbesondere im Bereich der Kommunikation und des Betriebsklimas."
nordzucker_kununu_13,Nordzucker,kununu,Mitarbeiter,2025-05-01,Nordzucker ist ein sehr attraktiver Arbeitgeber.,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Marketing / Produktmanagement,Braunschweig,de,3.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,Ältere und langjährige Kollegen werden wertgeschätzt und alle werden gleich und respektvoll behandelt.,Die Stimmung ist je nach Abteilung sehr unterschiedlich. Die Vergütung könnte der Verantwortung besser entsprechen.,Aus meiner Sicht hilfreich: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie mehr Transparenz beim Gehaltssystem.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Fuehrung & Vorgesetzte"", ""Bewerbungsprozess"", ""Sonstiges""]","[""attraktiver Arbeitgeber"", ""Respektvoll behandelt"", ""Transparenz"", ""Teamevents"", ""Gehaltssystem""]","Der Mitarbeiter schätzt die Wertschätzung für ältere Kollegen und die regelmäßigen Teamevents, aber kritisiert die Vergütung und die Arbeitsatmosphäre innerhalb der Abteilungen."
nordzucker_kununu_14,Nordzucker,kununu,Mitarbeiter,2025-05-01,Toller Arbeitgeber- wenn man flexibel ist.,3.9,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,4.0,2.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,Man arbeitet gerne für eine bekannte Marke. Die interne Kommunikation funktioniert insgesamt gut.,Beim Thema Nachhaltigkeit ist noch Luft nach oben. Mehrarbeit in den Kampagnenzeiten kostet viel Freizeit.,Aus meiner Sicht hilfreich: ein noch stärkeres Engagement für Nachhaltigkeit sowie flexiblere Homeoffice-Regelungen auch in der Verwaltung.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""flexibilität"", ""Nachhaltigkeit"", ""Homeoffice-Regelungen"", ""Freizeit"", ""Engagement""]","Der Mitarbeiter lobt die gute interne Kommunikation und die Flexibilität des Unternehmens, aber kritisiert die Mehrarbeit in den Kampagnenzeiten und die mangelnde Nachhaltigkeitsengagement."
nordzucker_kununu_15,Nordzucker,kununu,Mitarbeiter,2025-05-01,Respekt und Wertschätzung werden großgeschrieben,4.5,Empfohlen,Angestellte/r oder Arbeiter/in,Finanzen / Controlling,Braunschweig,de,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,Familie und Beruf sind gut vereinbar. Es gibt gute Sozialleistungen und Zusatzangebote. Das Unternehmen handelt umwelt- und sozialbewusst.,Die Aufstiegsmöglichkeiten sind eher begrenzt.,Verbesserungspotenzial: transparentere Karrierewege.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Respekt"", ""Wertschätzung"", ""Sozialleistungen"", ""Umweltbewusstsein"", ""Karriere-wege""]","Das Unternehmen wird für seine positive Arbeitsatmosphäre, gute Sozialleistungen und Umweltbewusstsein gelobt. Es gibt jedoch auch einige Bereiche, in denen Verbesserungspotenzial besteht, wie z.B. transparentere Karrierewege."
nordzucker_kununu_16,Nordzucker,kununu,Mitarbeiter,2025-05-01,Meine Erfahrung ist sehr vielfältig. Je nach Abteilung und Standort ist die Kultur sehr verschieden.,3.6,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,3.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,5.0,Man arbeitet gerne für eine bekannte Marke und es gibt gute Weiterbildungsmöglichkeiten. Die Bezahlung ist fair und kommt pünktlich.,In Stoßzeiten wird die Atmosphäre schnell angespannt.,Aus meiner Sicht hilfreich: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie eine klarere und schnellere interne Kommunikation.,,0,True,False,positiv,"[""Arbeitsatmosphäre"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation""]","[""Weiterbildungsmöglichkeiten"", ""Gute Bezahlung"", ""Regelmäßige Teamevents"", ""Klarere Kommunikation"", ""Vielfältige Erfahrung""]","Die Arbeit bietet eine gute Vielfalt und Weiterbildungsmöglichkeiten, die Bezahlung ist fair. Die Atmosphäre kann jedoch in Stoßzeiten angespannt werden."
nordzucker_kununu_17,Nordzucker,kununu,Mitarbeiter,2025-05-01,Zucker klebt...,4.8,Empfohlen,Angestellte/r oder Arbeiter/in,IT,Braunschweig,de,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Man fühlt sich im Team gut aufgehoben. Gleitzeit und Homeoffice lassen sich gut nutzen. Die Bezahlung ist fair und kommt pünktlich.,Die Räumlichkeiten könnten moderner sein.,Aus meiner Sicht hilfreich: Investitionen in modernere Ausstattung und Arbeitsplätze.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte""]","[""Gleitzeit"", ""Homeoffice"", ""Fair Bezahlung"", ""Modernisierung""]","Die Mitarbeiter loben die gute Arbeitsatmosphäre, den fair bezahlten Job und die Möglichkeit von Gleitzeit. Sie empfehlen jedoch eine modernere Ausstattung."
nordzucker_kununu_18,Nordzucker,kununu,Mitarbeiter,2025-05-01,Erfrischend konservativ und sehr sozial,4.4,Empfohlen,Führungskraft,Administration / Verwaltung,Uelzen,de,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,Das Betriebsklima ist sehr angenehm und die Work-Life-Balance stimmt dank flexibler Arbeitszeiten.,Wichtige Informationen erreichen einen oft erst spät.,Verbesserungspotenzial: eine klarere und schnellere interne Kommunikation sowie mehr Diversität in den Führungspositionen.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Kommunikation"", ""Diversitaet & Gleichberechtigung""]","[""flexibler Arbeitszeit"", ""interne Kommunikation"", ""Diversität in Führungspositionen""]","Das Betriebsklima ist angenehm und die Work-Life-Balance stimmt, aber es gibt Verbesserungspotenzial in der internen Kommunikation und Diversität."
nordzucker_kununu_19,Nordzucker,kununu,Mitarbeiter,2025-05-01,Ein tolles Unternehmen! Die Leute sind super und man kann viel bewegen,4.5,Empfohlen,Angestellte/r oder Arbeiter/in,Administration / Verwaltung,Unbekannt,de,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend. Die Entwicklungschancen sind solide.,Die Kommunikation zwischen den Abteilungen ist ausbaufähig.,Wünschenswert: eine klarere und schnellere interne Kommunikation.,,0,True,False,positiv,"[""Arbeitsatmosphäre"", ""Kommunikation"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte""]","[""offene Atmosphäre"", ""Entwicklungschancen"", ""Kommunikation"", ""Wertschätzung"", ""Interne Kommunikation""]","Das Unternehmen wird positiv bewertet, insbesondere in Bezug auf die Arbeitsatmosphäre und die Entwicklungschancen. Es gibt jedoch einen Wunsch nach einer besseren internen Kommunikation."
nordzucker_kununu_20,Nordzucker,kununu,Mitarbeiter,2025-04-01,Top Arbeitgeber,5.0,Empfohlen,Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Braunschweig,de,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Man fühlt sich im Team gut aufgehoben. Das Unternehmen hat einen guten Ruf in der Region.,Die Aufgaben können zeitweise eintönig werden.,Aus meiner Sicht hilfreich: mehr Abwechslung und Eigenverantwortung in den Aufgaben.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Fuehrung & Vorgesetzte""]","[""Team"", ""Aufgaben"", ""Abwechslung"", ""Eigenverantwortung""]","Das Unternehmen bietet eine gute Arbeitsatmosphäre und einen guten Ruf, aber die Aufgaben können manchmal langweilig werden."
nordzucker_kununu_21,Nordzucker,kununu,Mitarbeiter,2025-01-01,Guter Arbeitgeber,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,Gleitzeit und Homeoffice lassen sich gut nutzen und moderne Arbeitsmittel stehen zur Verfügung.,Das Außenbild ist besser als die interne Realität und Weiterbildung hängt stark vom Vorgesetzten ab.,Verbesserungspotenzial: das positive Image auch nach innen stärker leben sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Gleitzeit"", ""Homeoffice"", ""Moderne Arbeitsmittel"", ""Weiterbildung"", ""Strukturiertes Weiterbildungsprogramm""]","Der Arbeitgeber bietet eine gute Atmosphäre und moderne Arbeitsmittel, aber hat Verbesserungspotenziale in der Kommunikation und Weiterbildung."
nordzucker_kununu_22,Nordzucker,kununu,Mitarbeiter,2024-08-01,"Als Arbeitgeber schon sehr attraktiv, freundlich und offen gestaltet.",4.6,Empfohlen,Auszubildende/r,IT,Braunschweig,de,,,,,,,,,,,,,,,,,,13,False,False,positiv,"[""Arbeitsatmosphaere"", ""Kommunikation""]","[""attraktiv"", ""freundlich"", ""offen""]",Das Unternehmen wird als freundlich und offen beschrieben.
nordzucker_kununu_23,Nordzucker,kununu,Mitarbeiter,2024-08-01,"Guter Arbeitgeber, jedoch unverhältnismäßig bei z.B. Hygienräume der Mitarbeiter",3.0,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,Das Betriebsklima ist sehr angenehm und es gibt gute Sozialleistungen und Zusatzangebote.,Das Außenbild ist besser als die interne Realität.,Verbesserungspotenzial: das positive Image auch nach innen stärker leben sowie flexiblere Homeoffice-Regelungen auch in der Verwaltung.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bezahlung"", ""Karriere & Weiterbildung"", ""Fuehrung & Vorgesetzte"", ""Kommunikation"", ""Arbeitsbedingungen"", ""Diversitaet & Gleichberechtigung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Sozialleistungen"", ""Zusatzangebote"", ""Flexiblere Homeoffice-Regelungen"", ""Verbesserungspotenzial"", ""positive Image""]","Das Unternehmen hat eine gute Arbeitsatmosphäre und bietet gute Sozialleistungen, aber es gibt Verbesserungspotenziale in Bezug auf die Flexibilität und das positive Image."
nordzucker_kununu_24,Nordzucker,kununu,Mitarbeiter,2024-07-01,Da geht mehr.,3.6,Nicht empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Schladen,de,3.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,Das Unternehmen hat einen guten Ruf in der Region und ältere und langjährige Kollegen werden wertgeschätzt.,Die Stimmung ist je nach Abteilung sehr unterschiedlich.,Verbesserungspotenzial: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False,positiv,"[""Arbeitsatmosphaere"", ""Fuehrung & Vorgesetzte"", ""Diversitaet & Gleichberechtigung""]","[""Guter Ruf"", ""Wertgeschätzung älterer Kollegen"", ""Verbesserungspotenzial"", ""Teamevents"", ""Weiterbildungsprogramm""]","Das Unternehmen hat einen guten Ruf und wertet ältere Kollegen hoch, aber gibt noch Raum für Verbesserungen in der Arbeitsatmosphäre und bei der Kommunikation."
nordzucker_kununu_25,Nordzucker,kununu,Mitarbeiter,2024-04-01,Wer nicht die Absicht hat die steile Karriereleiter aufzusteigen ist hier richtig.,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Beschaffung / Einkauf,Braunschweig,de,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,Man hilft sich gegenseitig aus und alle werden gleich und respektvoll behandelt.,Das Gehalt ist im Branchenvergleich eher durchschnittlich und Entscheidungen werden zu selten erklärt.,Wünschenswert: mehr Transparenz beim Gehaltssystem sowie einheitlichere Führungsstandards.,,0,True,False,neutral,"[""Arbeitsatmosphaere"", ""Fuehrung & Vorgesetzte"", ""Bezahlung"", ""Bewerbungsprozess"", ""Sonstiges""]","[""Karriereleiter"", ""Transparenz"", ""Gleichberechtigung"", ""Führungsstandards"", ""Branchenvergleich""]","Das Unternehmen bietet eine respektvolle Arbeitsatmosphäre und Chancen für Karrierewachstum, aber es fehlt an Transparenz im Gehaltssystem und bei Führungsentscheidungen."
nordzucker_kununu_26,Nordzucker,kununu,Mitarbeiter,2024-02-01,Gute Betrieb mit einer sehr sehr besondere ausbilder,4.9,Empfohlen,Ex-Auszubildende/r,Unbekannt,Schladen,de,,,,,,,,,,,,,,,,,,13,False,False,positiv,"[""Arbeitsatmosphaere"", ""Work-Life-Balance"", ""Bewerbungsprozess"", ""Sonstiges""]","[""ausbilder"", ""gute Betrieb"", ""besondere Ausbildung""]",Die Bewertung ist sehr positiv und beschreibt eine gute Arbeitsatmosphäre und eine besondere Ausbildung.
