review_id,unternehmen,source,typ,datum,titel,gesamt_score,empfehlung,position,bereich,ort,sprache,arbeitsatmosphaere,work_life_balance,gehalt,karriere,vorgesetzte,gleichberechtigung,image,umwelt_sozial,kollegen,umgang_aeltere,arbeitsbedingungen,kommunikation,interessante_aufgaben,text_positiv,text_negativ,text_verbesserung,text_freitext,missing_ratings,has_freetext,is_duplicate
nordzucker_kununu_11,Nordzucker,kununu,Mitarbeiter,2025-05-01,Top-Arbeitsgeber,4.8,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend und das Unternehmen hat einen guten Ruf in der Region. Gleitzeit und Homeoffice lassen sich gut nutzen.,Die Aufstiegsmöglichkeiten sind eher begrenzt.,Verbesserungspotenzial: ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_12,Nordzucker,kununu,Mitarbeiter,2025-05-01,"Grundsätzlich ein guter Arbeitgeber, aber...",3.7,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,Das Betriebsklima ist sehr angenehm. Familie und Beruf sind gut vereinbar. Die Bezahlung ist fair und kommt pünktlich.,Das Außenbild ist besser als die interne Realität.,Wünschenswert: das positive Image auch nach innen stärker leben sowie mehr regelmäßiges Feedback durch die Vorgesetzten.,,0,True,False
nordzucker_kununu_13,Nordzucker,kununu,Mitarbeiter,2025-05-01,Nordzucker ist ein sehr attraktiver Arbeitgeber.,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Marketing / Produktmanagement,Braunschweig,de,3.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,Ältere und langjährige Kollegen werden wertgeschätzt und alle werden gleich und respektvoll behandelt.,Die Stimmung ist je nach Abteilung sehr unterschiedlich. Die Vergütung könnte der Verantwortung besser entsprechen.,Aus meiner Sicht hilfreich: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie mehr Transparenz beim Gehaltssystem.,,0,True,False
nordzucker_kununu_14,Nordzucker,kununu,Mitarbeiter,2025-05-01,Toller Arbeitgeber- wenn man flexibel ist.,3.9,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,4.0,2.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,Man arbeitet gerne für eine bekannte Marke. Die interne Kommunikation funktioniert insgesamt gut.,Beim Thema Nachhaltigkeit ist noch Luft nach oben. Mehrarbeit in den Kampagnenzeiten kostet viel Freizeit.,Aus meiner Sicht hilfreich: ein noch stärkeres Engagement für Nachhaltigkeit sowie flexiblere Homeoffice-Regelungen auch in der Verwaltung.,,0,True,False
nordzucker_kununu_15,Nordzucker,kununu,Mitarbeiter,2025-05-01,Respekt und Wertschätzung werden großgeschrieben,4.5,Empfohlen,Angestellte/r oder Arbeiter/in,Finanzen / Controlling,Braunschweig,de,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,Familie und Beruf sind gut vereinbar. Es gibt gute Sozialleistungen und Zusatzangebote. Das Unternehmen handelt umwelt- und sozialbewusst.,Die Aufstiegsmöglichkeiten sind eher begrenzt.,Verbesserungspotenzial: transparentere Karrierewege.,,0,True,False
nordzucker_kununu_16,Nordzucker,kununu,Mitarbeiter,2025-05-01,Meine Erfahrung ist sehr vielfältig. Je nach Abteilung und Standort ist die Kultur sehr verschieden.,3.6,Empfohlen,Angestellte/r oder Arbeiter/in,Nordzucker AG,Braunschweig,de,3.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,5.0,Man arbeitet gerne für eine bekannte Marke und es gibt gute Weiterbildungsmöglichkeiten. Die Bezahlung ist fair und kommt pünktlich.,In Stoßzeiten wird die Atmosphäre schnell angespannt.,Aus meiner Sicht hilfreich: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_17,Nordzucker,kununu,Mitarbeiter,2025-05-01,Zucker klebt...,4.8,Empfohlen,Angestellte/r oder Arbeiter/in,IT,Braunschweig,de,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,Man fühlt sich im Team gut aufgehoben. Gleitzeit und Homeoffice lassen sich gut nutzen. Die Bezahlung ist fair und kommt pünktlich.,Die Räumlichkeiten könnten moderner sein.,Aus meiner Sicht hilfreich: Investitionen in modernere Ausstattung und Arbeitsplätze.,,0,True,False
nordzucker_kununu_18,Nordzucker,kununu,Mitarbeiter,2025-05-01,Erfrischend konservativ und sehr sozial,4.4,Empfohlen,Führungskraft,Administration / Verwaltung,Uelzen,de,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,Das Betriebsklima ist sehr angenehm und die Work-Life-Balance stimmt dank flexibler Arbeitszeiten.,Wichtige Informationen erreichen einen oft erst spät.,Verbesserungspotenzial: eine klarere und schnellere interne Kommunikation sowie mehr Diversität in den Führungspositionen.,,0,True,False
nordzucker_kununu_19,Nordzucker,kununu,Mitarbeiter,2025-05-01,Ein tolles Unternehmen! Die Leute sind super und man kann viel bewegen,4.5,Empfohlen,Angestellte/r oder Arbeiter/in,Administration / Verwaltung,Unbekannt,de,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend. Die Entwicklungschancen sind solide.,Die Kommunikation zwischen den Abteilungen ist ausbaufähig.,Wünschenswert: eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_20,Nordzucker,kununu,Mitarbeiter,2025-04-01,Top Arbeitgeber,5.0,Empfohlen,Angestellte/r oder Arbeiter/in,Vertrieb / Verkauf,Braunschweig,de,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Man fühlt sich im Team gut aufgehoben. Das Unternehmen hat einen guten Ruf in der Region.,Die Aufgaben können zeitweise eintönig werden.,Aus meiner Sicht hilfreich: mehr Abwechslung und Eigenverantwortung in den Aufgaben.,,0,True,False
nordzucker_kununu_21,Nordzucker,kununu,Mitarbeiter,2025-01-01,Guter Arbeitgeber,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,Gleitzeit und Homeoffice lassen sich gut nutzen und moderne Arbeitsmittel stehen zur Verfügung.,Das Außenbild ist besser als die interne Realität und Weiterbildung hängt stark vom Vorgesetzten ab.,Verbesserungspotenzial: das positive Image auch nach innen stärker leben sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_22,Nordzucker,kununu,Mitarbeiter,2024-08-01,"Als Arbeitgeber schon sehr attraktiv, freundlich und offen gestaltet.",4.6,Empfohlen,Auszubildende/r,IT,Braunschweig,de,,,,,,,,,,,,,,,,,,13,False,False
nordzucker_kununu_23,Nordzucker,kununu,Mitarbeiter,2024-08-01,"Guter Arbeitgeber, jedoch unverhältnismäßig bei z.B. Hygienräume der Mitarbeiter",3.0,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,Das Betriebsklima ist sehr angenehm und es gibt gute Sozialleistungen und Zusatzangebote.,Das Außenbild ist besser als die interne Realität.,Verbesserungspotenzial: das positive Image auch nach innen stärker leben sowie flexiblere Homeoffice-Regelungen auch in der Verwaltung.,,0,True,False
nordzucker_kununu_24,Nordzucker,kununu,Mitarbeiter,2024-07-01,Da geht mehr.,3.6,Nicht empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Schladen,de,3.0,4.0,4.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,Das Unternehmen hat einen guten Ruf in der Region und ältere und langjährige Kollegen werden wertgeschätzt.,Die Stimmung ist je nach Abteilung sehr unterschiedlich.,Verbesserungspotenzial: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_25,Nordzucker,kununu,Mitarbeiter,2024-04-01,Wer nicht die Absicht hat die steile Karriereleiter aufzusteigen ist hier richtig.,3.8,Empfohlen,Angestellte/r oder Arbeiter/in,Beschaffung / Einkauf,Braunschweig,de,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,Man hilft sich gegenseitig aus und alle werden gleich und respektvoll behandelt.,Das Gehalt ist im Branchenvergleich eher durchschnittlich und Entscheidungen werden zu selten erklärt.,Wünschenswert: mehr Transparenz beim Gehaltssystem sowie einheitlichere Führungsstandards.,,0,True,False
nordzucker_kununu_26,Nordzucker,kununu,Mitarbeiter,2024-02-01,Gute Betrieb mit einer sehr sehr besondere ausbilder,4.9,Empfohlen,Ex-Auszubildende/r,Unbekannt,Schladen,de,,,,,,,,,,,,,,,,,,13,False,False
nordzucker_kununu_27,Nordzucker,kununu,Mitarbeiter,2024-02-01,Meine Erfahrung bei Nordzucker ist grandios die Ausbildungsqualität ist absolut erstklassig.,4.7,Empfohlen,Auszubildende/r,Personal / Aus- und Weiterbildung,Uelzen,de,,,,,,,,,,,,,,,,,,13,False,False
nordzucker_kununu_28,Nordzucker,kununu,Mitarbeiter,2024-01-01,Sehr guter Arbeitgeber!,4.6,Empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Braunschweig,de,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Man fühlt sich im Team gut aufgehoben. Das Unternehmen hat einen guten Ruf in der Region. Familie und Beruf sind gut vereinbar.,Weiterbildung hängt stark vom Vorgesetzten ab.,Verbesserungspotenzial: ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_29,Nordzucker,kununu,Mitarbeiter,2023-11-01,Teamfähiges Arbeiten und Nettes verhalten unter seinen Mitmenschen. Spaß am Arbeiten,4.2,Empfohlen,Auszubildende/r,Personal / Aus- und Weiterbildung,Schladen,de,,,,,,,,,,,,,,,,,,13,False,False
nordzucker_kununu_30,Nordzucker,kununu,Mitarbeiter,2023-10-01,Sehr gute möglichkeiten über Lebensmittel und Produktion sein wissen zu erweitern,4.6,Empfohlen,Zeitarbeiter/in,Produktion,Schladen,de,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,Die Arbeitsatmosphäre ist offen und wertschätzend und man arbeitet gerne für eine bekannte Marke.,Der Umgang mit älteren Kollegen ist nicht immer fair. Wichtige Informationen erreichen einen oft erst spät.,Wünschenswert: mehr Wertschätzung für langjährige Mitarbeiter sowie eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_31,Nordzucker,kununu,Mitarbeiter,2023-02-01,Abwechslungsreiche Arbeit und wechsel zwischen Schicht und Gleitzeit,3.3,Nicht empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,Man arbeitet gerne für eine bekannte Marke und die Bezahlung ist fair und kommt pünktlich. Das Unternehmen handelt umwelt- und sozialbewusst.,Die Stimmung ist je nach Abteilung sehr unterschiedlich. In der Produktion ist die Work-Life-Balance durch Schichten belastend.,Verbesserungspotenzial: ein einheitlicheres Miteinander über alle Abteilungen hinweg sowie mehr Planungssicherheit bei der Schichtplanung.,,0,True,False
nordzucker_kununu_32,Nordzucker,kununu,Mitarbeiter,2023-02-01,Geistig im letzten Jahrhundert verhaftet Beziehungen sind alles,1.5,Nicht empfohlen,,Unbekannt,Nordstemmen,de,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,Familie und Beruf sind gut vereinbar.,Der Zusammenhalt schwankt stark je nach Team.,Aus meiner Sicht hilfreich: mehr abteilungsübergreifender Austausch sowie Investitionen in modernere Ausstattung und Arbeitsplätze.,,0,True,False
nordzucker_kununu_33,Nordzucker,kununu,Mitarbeiter,2022-10-01,Modern und vorbildlich ist was anderes...,2.5,Nicht empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,2.0,4.0,3.0,1.0,4.0,2.0,,3.0,1.0,3.0,2.0,3.0,,Familie und Beruf sind gut vereinbar und die Führungskräfte sind fair und unterstützend.,Das Gehalt ist im Branchenvergleich eher durchschnittlich. Beim Thema Nachhaltigkeit ist noch Luft nach oben.,Verbesserungspotenzial: eine leistungsgerechtere Vergütung sowie ein noch stärkeres Engagement für Nachhaltigkeit.,,2,True,False
nordzucker_kununu_34,Nordzucker,kununu,Mitarbeiter,2022-04-01,Durchschnittlich guter Arbeitgeber mit Schönheitsfehler.,3.2,Empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Unbekannt,de,3.0,4.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,5.0,3.0,1.0,3.0,Ältere und langjährige Kollegen werden wertgeschätzt und alle werden gleich und respektvoll behandelt. Die Work-Life-Balance stimmt dank flexibler Arbeitszeiten.,Die Stimmung ist je nach Abteilung sehr unterschiedlich und die Aufstiegsmöglichkeiten sind eher begrenzt.,Verbesserungspotenzial: ein einheitlicheres Miteinander über alle Abteilungen hinweg sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_35,Nordzucker,kununu,Mitarbeiter,2021-06-01,Vielseitiger Job,4.2,Empfohlen,,Unbekannt,Unbekannt,de,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,Es gibt gute Weiterbildungsmöglichkeiten und die Bezahlung ist fair und kommt pünktlich. Nachhaltigkeit wird hier ernst genommen.,Das Führungsverhalten hängt sehr von der jeweiligen Person ab und die Kommunikation zwischen den Abteilungen ist ausbaufähig.,Verbesserungspotenzial: einheitlichere Führungsstandards sowie eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_36,Nordzucker,kununu,Mitarbeiter,2021-04-01,Ein Unternehmen mit guter Work-Life-Balance,4.2,Empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Braunschweig,de,5.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,Das Betriebsklima ist sehr angenehm und Familie und Beruf sind gut vereinbar.,Das Außenbild ist besser als die interne Realität.,Aus meiner Sicht hilfreich: das positive Image auch nach innen stärker leben sowie ein strukturiertes Weiterbildungsprogramm für alle.,,0,True,False
nordzucker_kununu_37,Nordzucker,kununu,Mitarbeiter,2019-09-01,Solider Arbeitgeber mit kleine Mängeln,3.7,Empfohlen,Angestellte/r oder Arbeiter/in,Logistik / Materialwirtschaft,Hohenhameln,de,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Die Work-Life-Balance stimmt dank flexibler Arbeitszeiten und man arbeitet gerne für eine bekannte Marke.,In Stoßzeiten wird die Atmosphäre schnell angespannt und das Gehalt ist im Branchenvergleich eher durchschnittlich.,Wünschenswert: regelmäßige Teamevents zur Stärkung des Zusammenhalts sowie eine leistungsgerechtere Vergütung.,,0,True,False
nordzucker_kununu_38,Nordzucker,kununu,Mitarbeiter,2019-05-01,Arbeitgeber mit guter Work-Life-Balance,4.1,Empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Braunschweig,de,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,Die Work-Life-Balance stimmt dank flexibler Arbeitszeiten und die Bezahlung ist fair und kommt pünktlich.,Das Führungsverhalten hängt sehr von der jeweiligen Person ab. Die Kommunikation zwischen den Abteilungen ist ausbaufähig.,Wünschenswert: einheitlichere Führungsstandards sowie eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_39,Nordzucker,kununu,Mitarbeiter,2019-03-01,Familie und Beruf in der Produktion ist sehr schwierig,3.2,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Unbekannt,de,4.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,Die Aufgaben sind abwechslungsreich und spannend. Man fühlt sich im Team gut aufgehoben. Die Bezahlung ist fair und kommt pünktlich.,Das Außenbild ist besser als die interne Realität. Der Umgang mit älteren Kollegen ist nicht immer fair.,Aus meiner Sicht hilfreich: das positive Image auch nach innen stärker leben sowie mehr Wertschätzung für langjährige Mitarbeiter.,,0,True,False
nordzucker_kununu_40,Nordzucker,kununu,Mitarbeiter,2018-06-01,Guter Arbeitgeber mit Luft nach oben.,3.9,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Hohenhameln,de,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,Nachhaltigkeit wird hier ernst genommen und ältere und langjährige Kollegen werden wertgeschätzt. Moderne Arbeitsmittel stehen zur Verfügung.,Das Gehalt ist im Branchenvergleich eher durchschnittlich.,Aus meiner Sicht hilfreich: eine leistungsgerechtere Vergütung sowie mehr regelmäßiges Feedback durch die Vorgesetzten.,,0,True,False
nordzucker_kununu_41,Nordzucker,kununu,Mitarbeiter,2018-06-01,Sehr gut: 4.23 von 5 Sternen,4.2,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,Die Arbeitsatmosphäre ist offen und wertschätzend und man arbeitet gerne für eine bekannte Marke.,Weiterbildung hängt stark vom Vorgesetzten ab und die Vergütung könnte der Verantwortung besser entsprechen.,Verbesserungspotenzial: ein strukturiertes Weiterbildungsprogramm für alle sowie eine leistungsgerechtere Vergütung.,,0,True,False
nordzucker_kununu_42,Nordzucker,kununu,Mitarbeiter,2018-06-01,Insgesamt sehr vorbildlich,4.1,Empfohlen,Ex-Angestellte/r oder Arbeiter/in,Unbekannt,Braunschweig,de,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,Man arbeitet gerne für eine bekannte Marke. Man hilft sich gegenseitig aus. Die Arbeitsbedingungen und die Ausstattung sind gut.,Der Umgang mit älteren Kollegen ist nicht immer fair.,Aus meiner Sicht hilfreich: mehr Wertschätzung für langjährige Mitarbeiter sowie eine klarere und schnellere interne Kommunikation.,,0,True,False
nordzucker_kununu_43,Nordzucker,kununu,Mitarbeiter,2018-06-01,Gut: 3.92 von 5 Sternen,3.9,Empfohlen,Angestellte/r oder Arbeiter/in,Produktion,Schladen,de,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,Das Betriebsklima ist sehr angenehm. Man arbeitet gerne für eine bekannte Marke.,Die Aufstiegsmöglichkeiten sind eher begrenzt. Beim Thema Nachhaltigkeit ist noch Luft nach oben.,Verbesserungspotenzial: transparentere Karrierewege sowie ein noch stärkeres Engagement für Nachhaltigkeit.,,0,True,False
nordzucker_kununu_44,Nordzucker,kununu,Mitarbeiter,2018-06-01,Head of Grower relations and Agri Consulting - Koordination von 7 Ländern,4.6,Empfohlen,Ex-Führungskraft,Beschaffung / Einkauf,Braunschweig,de,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,Man fühlt sich im Team gut aufgehoben und die Entwicklungschancen sind solide.,Das Außenbild ist besser als die interne Realität.,Wünschenswert: das positive Image auch nach innen stärker leben.,,0,True,False
nordzucker_kununu_45,Nordzucker,kununu,Mitarbeiter,2017-07-01,NORDZUCKER Vermögensverwaltungsges. mbH 4.6 von 5,4.6,Empfohlen,Angestellte/r oder Arbeiter/in,Unbekannt,Braunschweig,de,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,Man fühlt sich im Team gut aufgehoben und man arbeitet gerne für eine bekannte Marke. Die Work-Life-Balance stimmt dank flexibler Arbeitszeiten.,Die Aufgaben können zeitweise eintönig werden.,Wünschenswert: mehr Abwechslung und Eigenverantwortung in den Aufgaben.,,0,True,False
nordzucker_kununu_46,Nordzucker,kununu,Mitarbeiter,2017-07-01,Multinationaler Konzern mit bodenständigem Flair,4.8,Empfohlen,,Unbekannt,Braunschweig,de,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,Das Betriebsklima ist sehr angenehm und Gleitzeit und Homeoffice lassen sich gut nutzen.,Wichtige Informationen erreichen einen oft erst spät.,Wünschenswert: eine klarere und schnellere interne Kommunikation.,,0,True,False
